current_date,positive,negative,deathIncrease,state,case,death,updated,state_abbr
20200925,8202.0,433130.0,6,Alaska,7254,52,2020-09-26 20:00:41,AK
20200925,150658.0,963364.0,-15,Alabama,150658,2519,2020-09-26 20:00:41,AL
20200925,79946.0,848822.0,20,Arkansas,79946,1266,2020-09-26 20:00:41,AR
20200925,216367.0,1211657.0,28,Arizona,216367,5587,2020-09-26 20:00:41,AZ
20200925,794040.0,13258207.0,84,California,802818,15494,2020-09-26 20:00:41,CA
20200925,67217.0,795588.0,9,Colorado,67504,2030,2020-09-26 20:00:41,CO
20200925,56587.0,1462564.0,2,Connecticut,56587,4502,2020-09-26 20:00:41,CT
20200925,20085.0,259289.0,1,Delaware,20085,631,2020-09-26 20:00:41,DE
20200925,695887.0,4510107.0,122,Florida,695887,13915,2020-09-26 20:00:41,FL
20200925,312514.0,2534980.0,52,Georgia,313521,6879,2020-09-26 20:00:41,GA
20200925,2286.0,45970.0,3,Guam,2286,39,2020-09-26 20:00:41,GU
20200925,11779.0,275096.0,2,Hawaii,11891,127,2020-09-26 20:00:41,HI
20200925,82045.0,662936.0,5,Iowa,84686,1307,2020-09-26 20:00:41,IA
20200925,39234.0,260648.0,3,Idaho,39759,459,2020-09-26 20:00:41,ID
20200925,286374.0,5079586.0,33,Illinois,283843,8563,2020-09-26 20:00:41,IL
20200925,115407.0,1226055.0,18,Indiana,115413,3568,2020-09-26 20:00:41,IN
20200925,56592.0,446178.0,11,Kansas,55823,622,2020-09-26 20:00:41,KS
20200925,65066.0,1187262.0,12,Kentucky,65071,1150,2020-09-26 20:00:41,KY
20200925,165152.0,2090913.0,21,Louisiana,163928,5444,2020-09-26 20:00:41,LA
20200925,129481.0,2032933.0,11,Massachusetts,127317,9373,2020-09-26 20:00:41,MA
20200925,122359.0,1450125.0,8,Maryland,122359,3919,2020-09-26 20:00:41,MD
20200925,5235.0,401159.0,0,Maine,5238,140,2020-09-26 20:00:41,ME
20200925,133377.0,3368935.0,8,Michigan,133377,7030,2020-09-26 20:00:41,MI
20200925,94189.0,1256967.0,6,Minnesota,94190,2046,2020-09-26 20:00:41,MN
20200925,120298.0,1152867.0,42,Missouri,124076,2127,2020-09-26 20:00:41,MO
20200925,69.0,14776.0,0,Northern Mariana Islands,31,2,2020-09-26 20:00:41,MP
20200925,96032.0,630354.0,20,Mississippi,95971,2889,2020-09-26 20:00:41,MS
20200925,11564.0,314552.0,5,Montana,11564,170,2020-09-26 20:00:41,MT
20200925,204331.0,2703286.0,53,North Carolina,198195,3362,2020-09-26 20:00:41,NC
20200925,19885.0,214749.0,0,North Dakota,19885,219,2020-09-26 20:00:41,ND
20200925,42731.0,394573.0,0,Nebraska,42154,451,2020-09-26 20:00:41,NE
20200925,8044.0,239107.0,0,New Hampshire,8044,438,2020-09-26 20:00:41,NH
20200925,202100.0,3276611.0,6,New Jersey,202178,16222,2020-09-26 20:00:41,NJ
20200925,28224.0,857149.0,2,New Mexico,28487,865,2020-09-26 20:00:41,NM
20200925,77753.0,603583.0,9,Nevada,77922,1573,2020-09-26 20:00:41,NV
20200925,453755.0,9869708.0,7,New York,459558,33122,2020-09-26 20:00:41,NY
20200925,148894.0,2846699.0,19,Ohio,148897,4734,2020-09-26 20:00:41,OH
20200925,82520.0,1058144.0,12,Oklahoma,82521,993,2020-09-26 20:00:41,OK
20200925,32314.0,630592.0,3,Oregon,32317,543,2020-09-26 20:00:41,OR
20200925,154203.0,1816397.0,2,Pennsylvania,158974,8081,2020-09-26 20:00:41,PA
20200925,44905.0,305972.0,8,Puerto Rico,44905,635,2020-09-26 20:00:41,PR
20200925,24181.0,305853.0,1,Rhode Island,24034,1099,2020-09-26 20:00:41,RI
20200925,143902.0,1082565.0,18,South Carolina,143902,3303,2020-09-26 20:00:41,SC
20200925,20554.0,163393.0,6,South Dakota,20554,216,2020-09-26 20:00:41,SD
20200925,189454.0,2573391.0,42,Tennessee,189457,2356,2020-09-26 20:00:41,TN
20200925,728552.0,5184897.0,97,Texas,742017,15286,2020-09-26 20:00:41,TX
20200925,68530.0,726687.0,4,Utah,68530,448,2020-09-26 20:00:41,UT
20200925,144433.0,1836216.0,23,Virginia,144447,3143,2020-09-26 20:00:41,VA
20200925,1731.0,157548.0,0,Vermont,1733,58,2020-09-26 20:00:41,VT
20200925,84238.0,1699041.0,-1,Washington,84580,2184,2020-09-26 20:00:41,WA
20200925,117329.0,1383645.0,9,Wisconsin,110828,1274,2020-09-26 20:00:41,WI
20200925,14953.0,520441.0,5,West Virginia,14962,335,2020-09-26 20:00:41,WV
20200925,5420.0,92406.0,0,Wyoming,5263,50,2020-09-26 20:00:41,WY
