state,case,death,updated
New York,456262,33090,2020-09-24 05:00:26
New Jersey,201128,16208,2020-09-24 05:00:26
California,793535,15210,2020-09-24 05:00:26
Michigan,131263,7018,2020-09-24 05:00:26
Florida,690499,13618,2020-09-24 05:00:26
Massachusetts,125867,9328,2020-09-24 05:00:26
Washington,83215,2151,2020-09-24 05:00:26
Louisiana,163869,5407,2020-09-24 05:00:26
Illinois,278209,8486,2020-09-24 05:00:26
Pennsylvania,157304,8062,2020-09-24 05:00:26
Georgia,310221,6777,2020-09-24 05:00:26
Texas,733123,14919,2020-09-24 05:00:26
Colorado,65901,2024,2020-09-24 05:00:26
Connecticut,56315,4498,2020-09-24 05:00:26
Ohio,146755,4687,2020-09-24 05:00:26
Indiana,113343,3534,2020-09-24 05:00:26
Tennessee,186710,2278,2020-09-24 05:00:26
Maryland,121297,3902,2020-09-24 05:00:26
North Carolina,196506,3322,2020-09-24 05:00:26
Wisconsin,104170,1252,2020-09-24 05:00:26
Arizona,214846,5498,2020-09-24 05:00:26
Virginia,142610,3096,2020-09-24 05:00:26
Missouri,120421,2081,2020-09-24 05:00:26
Nevada,76816,1556,2020-09-24 05:00:26
Alabama,147160,2492,2020-09-24 05:00:26
Mississippi,94526,2866,2020-09-24 05:00:26
South Carolina,141688,3268,2020-09-24 05:00:26
Utah,65922,444,2020-09-24 05:00:26
Minnesota,92105,2037,2020-09-24 05:00:26
Oregon,31313,532,2020-09-24 05:00:26
Oklahoma,80139,970,2020-09-24 05:00:26
Arkansas,77964,1229,2020-09-24 05:00:26
Iowa,82298,1294,2020-09-24 05:00:26
"Washington, D.C.",15050,621,2020-09-24 05:00:26
Kentucky,62735,1119,2020-09-24 05:00:26
Idaho,38347,451,2020-09-24 05:00:26
Rhode Island,24034,1099,2020-09-24 05:00:26
Kansas,54058,606,2020-09-24 05:00:26
New Hampshire,7990,438,2020-09-24 05:00:26
Maine,5174,139,2020-09-24 05:00:26
Vermont,1724,58,2020-09-24 05:00:26
New Mexico,27790,854,2020-09-24 05:00:26
Delaware,19761,628,2020-09-24 05:00:26
Puerto Rico,42660,617,2020-09-24 05:00:26
Hawaii,11523,120,2020-09-24 05:00:26
Montana,10700,163,2020-09-24 05:00:26
Nebraska,41000,444,2020-09-24 05:00:26
Navajo Nation,10141,548,2020-09-24 05:00:26
West Virginia,14515,322,2020-09-24 05:00:26
North Dakota,18981,203,2020-09-24 05:00:26
Alaska,6950,45,2020-09-24 05:00:26
Wyoming,5024,49,2020-09-24 05:00:26
South Dakota,19634,202,2020-09-24 05:00:26
Grand Princess,103,3,2020-09-24 05:00:26
Guam,2235,37,2020-09-24 05:00:26
Diamond Princess,49,0,2020-09-24 05:00:26
US Virgin Islands,1278,19,2020-09-24 05:00:26
Wuhan Evacuee,4,0,2020-09-24 05:00:26
Northern Mariana Islands,31,2,2020-09-24 05:00:26
US Military,63568,94,2020-09-24 05:00:26
Federal Bureau of Prisons,16263,124,2020-09-24 05:00:26
Veteran Affair,58364,3302,2020-09-24 05:00:26
